COU,Country,Variable,Year,Unit,Value
AUS,Australia,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,139.187
AUS,Australia,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,124.178
AUS,Australia,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,107.634
AUS,Australia,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,83.66
AUS,Australia,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,72.271
AUS,Australia,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,69.773
AUS,Australia,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,70.732
AUS,Australia,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,1.446961
AUS,Australia,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,1.265546
AUS,Australia,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,1.067323
AUS,Australia,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,0.8120517
AUS,Australia,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,0.6953256
AUS,Australia,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,0.6631836
AUS,Australia,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,0.669348
AUT,Austria,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,675.491
AUT,Austria,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,604.414
AUT,Austria,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,490.172
AUT,Austria,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,420.388
AUT,Austria,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,376.432
AUT,Austria,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,307.617
AUT,Austria,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,267.22
AUT,Austria,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,6.958188
AUT,Austria,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,6.132102
AUT,Austria,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,4.838245
AUT,Austria,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,4.095903
AUT,Austria,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,3.633958
AUT,Austria,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,2.957147
AUT,Austria,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,2.538377
BEL,Belgium,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,699.434
BEL,Belgium,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,617.687
BEL,Belgium,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,534.512
BEL,Belgium,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,438.522
BEL,Belgium,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,432.385
BEL,Belgium,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,312.865
BEL,Belgium,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,302.814
BEL,Belgium,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,7.266499
BEL,Belgium,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,6.339135
BEL,Belgium,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,5.342888
BEL,Belgium,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,4.321762
BEL,Belgium,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,4.229766
BEL,Belgium,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,3.040314
BEL,Belgium,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,2.915624
AFG,Afghanistan,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,224.168
AFG,Afghanistan,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,191.213
AFG,Afghanistan,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,170.446
AFG,Afghanistan,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,145.51
AFG,Afghanistan,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,168.657
AFG,Afghanistan,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,223.026
AFG,Afghanistan,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,228.234
AFG,Afghanistan,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,2.942573
AFG,Afghanistan,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,1.765488
AFG,Afghanistan,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,1.462869
AFG,Afghanistan,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,1.695582
AFG,Afghanistan,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,2.242171
AFG,Afghanistan,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,2.293541
ALB,Albania,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,285.349
ALB,Albania,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,266.002
ALB,Albania,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,318.648
ALB,Albania,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,380.854
ALB,Albania,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,428.051
ALB,Albania,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,498.178
ALB,Albania,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,532.035
ALB,Albania,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,3.454048
ALB,Albania,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,2.674225
ALB,Albania,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,3.893441
ALB,Albania,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,4.516443
ALB,Albania,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,4.924558
ALB,Albania,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,5.669538
ALB,Albania,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,5.972043
DZA,Algeria,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,425.854
DZA,Algeria,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,464.555
DZA,Algeria,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,497.668
DZA,Algeria,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,479.843
DZA,Algeria,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,462.1
DZA,Algeria,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,494.707
DZA,Algeria,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,502.327
DZA,Algeria,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,4.800626
DZA,Algeria,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,5.288125
DZA,Algeria,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,5.612487
DZA,Algeria,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,5.311048
DZA,Algeria,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,5.092515
DZA,Algeria,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,5.417024
DZA,Algeria,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,5.504812
ASM,American Samoa,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,93.551
ASM,American Samoa,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,102.384
ASM,American Samoa,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,93.396
ASM,American Samoa,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,100.246
ASM,American Samoa,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,107.686
ASM,American Samoa,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,124.749
ASM,American Samoa,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,140.15
AND,Andorra,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,169.896
AND,Andorra,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,162.902
AND,Andorra,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,191.118
AND,Andorra,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,158.453
AND,Andorra,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,153.165
AND,Andorra,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,150.952
AND,Andorra,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,136.917
AGO,Angola,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,104.099
AGO,Angola,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,108.651
AGO,Angola,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,124.266
AGO,Angola,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,123.325
AGO,Angola,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,131.872
AGO,Angola,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,155.527
AGO,Angola,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,174.547
AGO,Angola,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,1.264904
AGO,Angola,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,1.092317
AGO,Angola,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,1.249298
AGO,Angola,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,1.48789
AGO,Angola,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,1.556631
AGO,Angola,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,1.827848
AGO,Angola,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,2.093402
ATG,Antigua and Barbuda,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,372.218
ATG,Antigua and Barbuda,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,387.7
ATG,Antigua and Barbuda,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,318.276
ATG,Antigua and Barbuda,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,273.867
ATG,Antigua and Barbuda,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,279.47
ATG,Antigua and Barbuda,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,305.836
ATG,Antigua and Barbuda,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,309.069
ATG,Antigua and Barbuda,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,3.984743
ATG,Antigua and Barbuda,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,4.145956
ATG,Antigua and Barbuda,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,3.348484
ATG,Antigua and Barbuda,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,2.97516
ATG,Antigua and Barbuda,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,2.943297
ATG,Antigua and Barbuda,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,3.360001
ATG,Antigua and Barbuda,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,3.28393
ARG,Argentina,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,349.936
ARG,Argentina,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,335.847
ARG,Argentina,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,302.975
ARG,Argentina,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,271.463
ARG,Argentina,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,280.492
ARG,Argentina,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,300.539
ARG,Argentina,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,281.206
ARG,Argentina,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,3.874841
ARG,Argentina,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,3.646086
ARG,Argentina,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,3.27502
ARG,Argentina,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,2.952918
ARG,Argentina,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,2.99411
ARG,Argentina,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,3.201271
ARG,Argentina,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,3.018943
ARM,Armenia,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,609.027
ARM,Armenia,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,770.517
ARM,Armenia,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,820.372
ARM,Armenia,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,1010.785
