COU,Country,Variable,Year,Unit,PowerCode,Value
OECD,OECD - Total,"DALYs, per thousand inhabitants",1990,Per 1 000 inhabitants,Units,11.463
OECD,OECD - Total,"DALYs, per thousand inhabitants",1995,Per 1 000 inhabitants,Units,10.396
OECD,OECD - Total,"DALYs, per thousand inhabitants",2000,Per 1 000 inhabitants,Units,9.072
OECD,OECD - Total,"DALYs, per thousand inhabitants",2005,Per 1 000 inhabitants,Units,7.816
OECD,OECD - Total,"DALYs, per thousand inhabitants",2010,Per 1 000 inhabitants,Units,7.21
OECD,OECD - Total,"DALYs, per thousand inhabitants",2015,Per 1 000 inhabitants,Units,6.546
OECD,OECD - Total,"DALYs, per thousand inhabitants",2019,Per 1 000 inhabitants,Units,6.349
OECD,OECD - Total,DALYs,1990,Number,Units,12674590
OECD,OECD - Total,DALYs,1995,Number,Units,11966500
OECD,OECD - Total,DALYs,2000,Number,Units,10839900
OECD,OECD - Total,DALYs,2005,Number,Units,9689225
OECD,OECD - Total,DALYs,2010,Number,Units,9272153
OECD,OECD - Total,DALYs,2015,Number,Units,8690132
OECD,OECD - Total,DALYs,2019,Number,Units,8614993
OECD,OECD - Total,"Premature deaths, per million inhabitants",1990,Per 1 000 000 inhabitants,Units,467.125
OECD,OECD - Total,"Premature deaths, per million inhabitants",1995,Per 1 000 000 inhabitants,Units,432.155
OECD,OECD - Total,"Premature deaths, per million inhabitants",2000,Per 1 000 000 inhabitants,Units,380.336
OECD,OECD - Total,"Premature deaths, per million inhabitants",2005,Per 1 000 000 inhabitants,Units,328.999
OECD,OECD - Total,"Premature deaths, per million inhabitants",2010,Per 1 000 000 inhabitants,Units,304.587
OECD,OECD - Total,"Premature deaths, per million inhabitants",2015,Per 1 000 000 inhabitants,Units,279.623
OECD,OECD - Total,"Premature deaths, per million inhabitants",2019,Per 1 000 000 inhabitants,Units,275.211
OECD,OECD - Total,Premature deaths,1990,Number,Units,516505
OECD,OECD - Total,Premature deaths,1995,Number,Units,497459
OECD,OECD - Total,Premature deaths,2000,Number,Units,454470
OECD,OECD - Total,Premature deaths,2005,Number,Units,407851
OECD,OECD - Total,Premature deaths,2010,Number,Units,391688
OECD,OECD - Total,Premature deaths,2015,Number,Units,371212
OECD,OECD - Total,Premature deaths,2019,Number,Units,373459
OECD,OECD - Total,"Welfare cost of premature deaths, USD per capita",1990,US Dollar,Units,1345.81
OECD,OECD - Total,"Welfare cost of premature deaths, USD per capita",1995,US Dollar,Units,1298.24
OECD,OECD - Total,"Welfare cost of premature deaths, USD per capita",2000,US Dollar,Units,1271.6
OECD,OECD - Total,"Welfare cost of premature deaths, USD per capita",2005,US Dollar,Units,1157.24
OECD,OECD - Total,"Welfare cost of premature deaths, USD per capita",2010,US Dollar,Units,1069.13
OECD,OECD - Total,"Welfare cost of premature deaths, USD per capita",2015,US Dollar,Units,1017.11
OECD,OECD - Total,"Welfare cost of premature deaths, USD per capita",2019,US Dollar,Units,1049.96
OECD,OECD - Total,"Welfare cost of premature deaths, % GDP equivalent",1990,Percentage,Units,4.770716
OECD,OECD - Total,"Welfare cost of premature deaths, % GDP equivalent",1995,Percentage,Units,4.308106
OECD,OECD - Total,"Welfare cost of premature deaths, % GDP equivalent",2000,Percentage,Units,3.698908
OECD,OECD - Total,"Welfare cost of premature deaths, % GDP equivalent",2005,Percentage,Units,3.120887
OECD,OECD - Total,"Welfare cost of premature deaths, % GDP equivalent",2010,Percentage,Units,2.822608
OECD,OECD - Total,"Welfare cost of premature deaths, % GDP equivalent",2015,Percentage,Units,2.513091
OECD,OECD - Total,"Welfare cost of premature deaths, % GDP equivalent",2019,Percentage,Units,2.439313
OECD,OECD - Total,"Welfare cost of premature deaths, millions 2015 USD PPP",1990,US Dollar,Millions,1488069
OECD,OECD - Total,"Welfare cost of premature deaths, millions 2015 USD PPP",1995,US Dollar,Millions,1494417
OECD,OECD - Total,"Welfare cost of premature deaths, millions 2015 USD PPP",2000,US Dollar,Millions,1519461
OECD,OECD - Total,"Welfare cost of premature deaths, millions 2015 USD PPP",2005,US Dollar,Millions,1434599
OECD,OECD - Total,"Welfare cost of premature deaths, millions 2015 USD PPP",2010,US Dollar,Millions,1374862
OECD,OECD - Total,"Welfare cost of premature deaths, millions 2015 USD PPP",2015,US Dollar,Millions,1350258
OECD,OECD - Total,"Welfare cost of premature deaths, millions 2015 USD PPP",2019,US Dollar,Millions,1424786
